ID,song,song_popularity,artist,album,album_cover,artist_popularity,genre
,We Got The Beat,64,The Go-Go's,Beauty And The Beat,https://i.scdn.co/image/ab67616d0000b2738a25755534e84d8a604e6b38,56,rock
,Take on the World,64,You Me At Six,Night People,https://i.scdn.co/image/ab67616d0000b27355f708882350a54b765620e4,59,rock
,Amber,64,311,From Chaos,https://i.scdn.co/image/ab67616d0000b273f5688d5a9e47a027a36c33fe,61,rock
,Loved You A Little (with Taking Back Sunday and Charlotte Sands),64,The Maine,Loved You A Little (with Taking Back Sunday and Charlotte Sands),https://i.scdn.co/image/ab67616d0000b27349dc85a9b7b8472de0f8efe6,58,rock
,Lydia,64,Highly Suspect,Mister Asylum,https://i.scdn.co/image/ab67616d0000b273b7897784eee989d4f97f8579,61,rock
,I Want Out,64,Helloween,"Keeper of the Seven Keys, Pt. II (Expanded Edition)",https://i.scdn.co/image/ab67616d0000b2733ab4dc4b31ad6870b455ac80,58,rock
,Is There Anybody Out There?,64,Machine Head,Is There Anybody Out There?,https://i.scdn.co/image/ab67616d0000b2731e76eaa664f5b71699066c72,61,rock
,Waiting Room,64,Fugazi,13 Songs,https://i.scdn.co/image/ab67616d0000b273f18ce5dc5f6b0843d3acb3a1,54,rock
,Gloria (feat. Van Morrison) - Stereo Version,64,Them,The Essential Van Morrison,https://i.scdn.co/image/ab67616d0000b2738f09dd4d56cde1a2cda18604,53,rock
,When You Sleep,64,my bloody valentine,Loveless,https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511,57,rock
,Shimmer,64,Fuel,Sunburn,https://i.scdn.co/image/ab67616d0000b273ec4fe09203f25c4cba99e37f,57,rock
,Stranded,64,Gojira,Magma,https://i.scdn.co/image/ab67616d0000b273422c622517ea0bd7eda33e08,63,rock
,It's Been Awhile,64,Staind,Break the Cycle,https://i.scdn.co/image/ab67616d0000b27300e9c78a5d11dd6cf8e8f43e,63,rock
,Whiskey In The Jar,64,Thin Lizzy,Shades Of A Blue Orphanage,https://i.scdn.co/image/ab67616d0000b273647d15e5a1be93167b5079f5,63,rock
,Pale Blue Eyes,64,The Velvet Underground,The Velvet Underground (45th Anniversary),https://i.scdn.co/image/ab67616d0000b2739a2c40b6a1af4a92aac991c5,62,rock
,Live And Let Die - 2018 Remaster,64,Wings,Red Rose Speedway (Archive Collection),https://i.scdn.co/image/ab67616d0000b273395734c8512bd160c6ee3f56,63,rock
,Mr. Tambourine Man,64,The Byrds,Mr. Tambourine Man,https://i.scdn.co/image/ab67616d0000b273576fccf9a91d9f7c808b8abd,57,rock
,Disco 2000,64,Pulp,Different Class,https://i.scdn.co/image/ab67616d0000b273fd952bece8f049dbcd7df93f,60,rock
,Southern Cross - 2005 Remaster,64,"Crosby, Stills & Nash",Daylight Again (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273114c0d586b9e7052518e9d1e,59,rock
,Hang Me Up To Dry,64,Cold War Kids,Robbers & Cowards,https://i.scdn.co/image/ab67616d0000b273919b670c83fc757159b3147a,60,rock
,The Kiss Of Venus (Dominic Fike),64,Paul McCartney,McCartney III Imagined,https://i.scdn.co/image/ab67616d0000b27372275ae8324be1e829320a43,68,rock
,Malibu,64,Hole,Celebrity Skin,https://i.scdn.co/image/ab67616d0000b2730649124c37ce988317263671,60,rock
,Obstacle 1,64,Interpol,Turn On The Bright Lights,https://i.scdn.co/image/ab67616d0000b27314f8df9fb9c2d3056a994390,64,rock
,Sledgehammer,64,Peter Gabriel,So (Remastered),https://i.scdn.co/image/ab67616d0000b27311bb04f55be562c76d8e8ecf,63,rock
,That's All - 2007 Remaster,64,Genesis,Genesis,https://i.scdn.co/image/ab67616d0000b273945c366eda66495226e4a46d,67,rock
,Father Of Mine,64,Everclear,So Much For The Afterglow,https://i.scdn.co/image/ab67616d0000b27365a9e11c89449998ac3da930,59,rock
,Lit Up,64,Buckcherry,Buckcherry,https://i.scdn.co/image/ab67616d0000b27369b37ab4b728b4f2718de82f,58,rock
,Cocoon,64,Catfish and the Bottlemen,The Balcony,https://i.scdn.co/image/ab67616d0000b273b87da477ad10e87b09b88d1e,63,rock
,Here Comes the Rain Again - Remastered Version,64,Eurythmics,Touch (Reissue - Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273a29ca418b2a64e80002a86e3,67,rock
,My Name Is Human,64,Highly Suspect,The Boy Who Died Wolf,https://i.scdn.co/image/ab67616d0000b2730412a482b98670e4d98a55fd,61,rock
,Fire,64,Barns Courtney,The Attractions Of Youth,https://i.scdn.co/image/ab67616d0000b2732a9e5743f2d7c93c43fee849,61,rock
,Dancing In The Moonlight (It's Caught Me In It's Spotlight),64,Thin Lizzy,Bad Reputation (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2739d64200d0ce43d5e4826f08e,63,rock
,Let It Ride,64,Bachman-Turner Overdrive,Bachman-Turner Overdrive II,https://i.scdn.co/image/ab67616d0000b27374c6742b403e88d8f7b31654,60,rock
,Youth Gone Wild,64,Skid Row,Skid Row,https://i.scdn.co/image/ab67616d0000b273ae63b58e90bef8888658ae21,61,rock
,Stuck With You,64,Huey Lewis & The News,Fore!,https://i.scdn.co/image/ab67616d0000b273f511dc00e29c2a2bdf483b53,64,rock
,Money for Nothing,64,Dire Straits,Brothers in Arms,https://i.scdn.co/image/ab67616d0000b273fb995d2871f084b34afae3b3,74,rock
,The Drugs Don't Work,64,The Verve,Urban Hymns (Deluxe / Remastered 2016),https://i.scdn.co/image/ab67616d0000b273c038b03e66fb6de76a5b3904,65,rock
,Mystify,64,INXS,Kick (Remastered 2011),https://i.scdn.co/image/ab67616d0000b273dac4efc0ebdfd9d92f127129,68,rock
,Sunlight (feat. Years and Years) - Radio Edit,64,The Magician,Sunlight (feat. Years & Years) [Radio Edit],https://i.scdn.co/image/ab67616d0000b273419b0aec29b934f46ab318f6,61,electronic
,Temptation (feat. Poppy Baskcomb),64,Jess Bays,Temptation (feat. Poppy Baskcomb),https://i.scdn.co/image/ab67616d0000b27378f9dc7dcd77a8ad0bcad7f4,51,electronic
,Boyz N Da Club - Radio Edit,64,Shermanology,Boyz N Da Club (Radio Edit),https://i.scdn.co/image/ab67616d0000b273f2125ecd752ae34fcbc673ed,57,electronic
,Boasty (feat. Idris Elba),64,Wiley,Boasty (feat. Idris Elba),https://i.scdn.co/image/ab67616d0000b273a51e234cef7a6c520b72a8f8,57,electronic
,Piece of Me,64,MK,Piece of Me,https://i.scdn.co/image/ab67616d0000b2733bb36082a79cc7e73c7b4710,65,electronic
,Kickstarts,64,Example,Won't Go Quietly,https://i.scdn.co/image/ab67616d0000b27316a7b71782fa0d8d30d697e7,59,electronic
,Flying,64,Curbi,Flying,https://i.scdn.co/image/ab67616d0000b273910874e2471ad65d5de360ff,57,electronic
