song,song_popularity,artist,album,album_cover,artist_popularity,genre
Mean Old World,51,T-Bone Walker,T-Bone Blues,https://i.scdn.co/image/ab67616d0000b2737a5bc7399749f64fd13ac802,44,blues
I 'll Play the Blues for You,51,Melvin Taylor,"Plays the Blues for You (feat. Lucky Peterson, Titus Williams, Ray ""Killer"" Allison) [Blues Power]",https://i.scdn.co/image/ab67616d0000b273dea25f327a8ae1257b7ace4f,42,blues
Rollin' Stone,51,Muddy Waters,The Chess Box,https://i.scdn.co/image/ab67616d0000b273dc8136afa6d14e89c8c321e6,55,blues
Killing Floor,51,Howlin' Wolf,The Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273b35e834af126be64d5be7f07,52,blues
Mustang Sally (feat. Jeff Beck),51,Buddy Guy,"Damn Right, I've Got The Blues",https://i.scdn.co/image/ab67616d0000b273908b48f4d0d898567fdfd6e2,53,blues
Good Morning Little School Girl,51,Muddy Waters,Folk Singer (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273f7ae2efa32ae0e057d170fb5,55,blues
Mistakes,51,Lake Street Dive,Side Pony,https://i.scdn.co/image/ab67616d0000b27358b484b3fe39baaa3681a559,61,blues
Three O'Clock Blues,51,Eric Clapton,Riding with the King,https://i.scdn.co/image/ab67616d0000b273c11a2f41352af5dcb2a7e31a,71,blues
Don't Owe You a Thang,51,Gary Clark Jr.,The Bright Lights EP,https://i.scdn.co/image/ab67616d0000b273f048a5b5631074a4007763c8,59,blues
Queen Bee,51,Taj Mahal,Señor Blues,https://i.scdn.co/image/ab67616d0000b27366698dff9cccd49435d676f9,54,blues
Carry You,51,The Teskey Brothers,Run Home Slow,https://i.scdn.co/image/ab67616d0000b2730a1094fb4655a99d33fd1434,57,blues
Cold Shot,51,Stevie Ray Vaughan,Couldn't Stand The Weather (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273eb72e98b6e645a68cdfe72a4,61,blues
Albatross - 2018 Master,51,Fleetwood Mac,The Pious Bird of Good Omen,https://i.scdn.co/image/ab67616d0000b273da6e3c1088d0a90bc96b848c,78,blues
Let It Rain,51,Eric Clapton,Eric Clapton,https://i.scdn.co/image/ab67616d0000b2736fdebec51a7d1857829f6f87,71,blues
Walking By Myself,50,Jimmy Rogers,Chicago Bound,https://i.scdn.co/image/ab67616d0000b273ab76e532fa011e617a8f29fe,40,blues
Somebody Loan Me A Dime,50,Fenton Robinson,Somebody Loan Me A Dime,https://i.scdn.co/image/ab67616d0000b2737d6ef18662a7bf5f383b42f8,37,blues
Down into Mexico,50,Delbert McClinton,Cost of Living,https://i.scdn.co/image/ab67616d0000b273d36d45aca965dd797e2fa727,46,blues
Bring It On Home,50,Sonny Boy Williamson II,The Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273d622fc7ddbb6844e8d97ba1f,46,blues
Juke,50,Little Walter,The Essential Little Walter,https://i.scdn.co/image/ab67616d0000b27320f3de1822791b066e563a2d,46,blues
Stumble,50,Freddie King,My Feeling For the Blues,https://i.scdn.co/image/ab67616d0000b2737e7bdea9523d343597593771,51,blues
In Hell I'll Be In Good Company,50,The Dead South,Good Company,https://i.scdn.co/image/ab67616d0000b273d78751b236b79cf6fbe9665e,59,blues
Ten Long Years,50,Eric Clapton,Riding with the King,https://i.scdn.co/image/ab67616d0000b273c11a2f41352af5dcb2a7e31a,71,blues
Crossfire,50,Stevie Ray Vaughan,In Step,https://i.scdn.co/image/ab67616d0000b273fb58ea8f6d1a6d3ac6ee9731,61,blues
Stone Crazy,50,Buddy Guy,I Was Walking Through The Woods (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2739583cae341728f0e9b29ea5a,53,blues
The Sky Is Crying,50,Elmore James,Shake Your Money Maker: The Best Of The Fire Sessions,https://i.scdn.co/image/ab67616d0000b2739edadae1fa36bbcfe53430fb,44,blues
Trouble No More,50,Allman Brothers Band,The Allman Brothers Band (Deluxe),https://i.scdn.co/image/ab67616d0000b2739ed6f7af72a4737c3fa4d95f,63,blues
Crossroads - Live,50,Cream,The Cream Of Clapton,https://i.scdn.co/image/ab67616d0000b27333375d550893179db5077892,61,blues
The Thrill Is Gone,50,B.B. King,B.B. King & Friends - 80,https://i.scdn.co/image/ab67616d0000b273292095f19ce3f6e84a0688f4,61,blues
Malibu Man,50,Dan Auerbach,Waiting on a Song,https://i.scdn.co/image/ab67616d0000b273b2d7362dc639856d9d046205,55,blues
I Shall Be Released,50,Nina Simone,To Love Somebody (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273d443fe6c1b51189c885c8bb8,67,blues
Someday Baby,50,R.L. Burnside,A Bothered Mind,https://i.scdn.co/image/ab67616d0000b27398fa3b1585597aeedf06199e,44,blues
Yer Blues - Remastered 2009,50,The Beatles,The Beatles (Remastered),https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,83,blues
Born Under a Bad Sign,50,Jimi Hendrix,Blues,https://i.scdn.co/image/ab67616d0000b2731e3d153c8ecda03a495ca811,70,blues
